STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
637080,99999, 19800509,   71.3, 6,   64.7, 6, 9999.9, 0, 9999.9, 0,  21.2, 6,   3.4, 6,   6.0, 999.9,   86.0 ,  66.2*, 0.02G,999.9, 010010,
637080,99999, 19800510,   72.5, 4,   64.8, 4, 9999.9, 0, 9999.9, 0,  23.3, 4, 999.9, 0, 999.9, 999.9,   82.4*,  62.6 , 0.08G,999.9, 010010,
637080,99999, 19800513,   76.6, 4,   63.5, 4, 9999.9, 0, 9999.9, 0,  21.7, 4,   3.0, 4,   5.1, 999.9,   80.6*,  59.0 , 0.12G,999.9, 000010,
637080,99999, 19800514,   71.2, 4,   65.8, 4, 9999.9, 0, 9999.9, 0,  24.1, 4,   4.3, 4,   8.0, 999.9,   82.4 ,  66.2*, 0.00G,999.9, 010010,
637080,99999, 19800515,   70.3, 4,   63.1, 4, 9999.9, 0, 9999.9, 0,  20.2, 4, 999.9, 0, 999.9, 999.9,   84.2 ,  64.4*, 0.31C,999.9, 010010,
637080,99999, 19800516,   70.4, 6,   65.0, 6, 9999.9, 0, 9999.9, 0,  22.6, 6,   4.0, 6,   9.9, 999.9,   82.4 ,  64.4 , 0.79G,999.9, 010000,
637080,99999, 19800517,   77.9, 6,   64.0, 5, 9999.9, 0, 9999.9, 0,  23.3, 6,   4.8, 6,   8.9, 999.9,   86.0*,  62.6 , 0.94G,999.9, 000010,
637080,99999, 19800518,   74.0, 6,   64.4, 6, 9999.9, 0, 9999.9, 0,  23.3, 6,   4.7, 6,  11.1, 999.9,   80.6 ,  64.4 , 0.00G,999.9, 000000,
637080,99999, 19800519,   72.7, 5,   64.8, 5, 9999.9, 0, 9999.9, 0,  19.9, 5,   4.0, 5,   6.0, 999.9,   84.2 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800520,   71.3, 7,   61.8, 7, 9999.9, 0, 9999.9, 0,  22.2, 7,   2.7, 7,   8.0, 999.9,   84.2 ,  60.8 , 0.00G,999.9, 000000,
637080,99999, 19800521,   73.1, 7,   64.7, 7, 9999.9, 0, 9999.9, 0,  21.7, 7,   5.7, 7,   9.9, 999.9,   80.6*,  64.4 , 0.00G,999.9, 000000,
637080,99999, 19800522,   72.4, 7,   64.7, 7, 9999.9, 0, 9999.9, 0,  20.0, 7,   5.4, 7,   9.9, 999.9,   80.6 ,  64.4 , 0.00G,999.9, 010010,
637080,99999, 19800523,   71.6, 4,   64.8, 4, 9999.9, 0, 9999.9, 0,  21.7, 4,   4.8, 4,   6.0, 999.9,   82.4 ,  66.2*, 0.00B,999.9, 000000,
637080,99999, 19800524,   71.9, 6,   64.4, 6, 9999.9, 0, 9999.9, 0,  19.7, 6,   6.2, 6,   9.9, 999.9,   84.2 ,  64.4*, 0.00C,999.9, 000010,
637080,99999, 19800525,   70.1, 6,   64.1, 6, 9999.9, 0, 9999.9, 0,  21.2, 6,   2.7, 6,   6.0, 999.9,   80.6 ,  62.6 , 1.14G,999.9, 010000,
637080,99999, 19800526,   71.0, 6,   63.5, 6, 9999.9, 0, 9999.9, 0,  22.8, 6,   5.1, 6,   9.9, 999.9,   82.4 ,  62.6 , 0.02G,999.9, 000010,
637080,99999, 19800527,   69.8, 6,   64.1, 6, 9999.9, 0, 9999.9, 0,  21.7, 6,   2.5, 6,   5.1, 999.9,   82.4 ,  62.6 , 0.12G,999.9, 000000,
637080,99999, 19800528,   73.8, 5,   63.7, 5, 9999.9, 0, 9999.9, 0,  29.2, 5,  13.4, 5,  49.9, 999.9,   82.4 ,  62.6 , 0.02G,999.9, 000000,
637080,99999, 19800529,   69.4, 8,   62.8, 8, 9999.9, 0, 9999.9, 0,  22.1, 8,   3.1, 8,   7.0, 999.9,   82.4 ,  62.6 , 0.00G,999.9, 000010,
637080,99999, 19800530,   69.2, 6,   62.6, 6, 9999.9, 0, 9999.9, 0,  19.2, 6,   2.0, 6,   5.1, 999.9,   77.0*,  60.8 , 0.00G,999.9, 010010,
637080,99999, 19800531,   71.2, 5,   61.5, 5, 9999.9, 0, 9999.9, 0,  24.2, 5,   4.0, 5,   6.0, 999.9,   82.4 ,  59.0 , 0.43G,999.9, 000010,
637080,99999, 19800601,   69.5, 7,   62.6, 7, 9999.9, 0, 9999.9, 0,  22.6, 7,   3.7, 7,   8.0, 999.9,   78.8 ,  60.8 , 0.00G,999.9, 000010,
637080,99999, 19800602,   73.4, 6,   62.9, 6, 9999.9, 0, 9999.9, 0,  23.3, 6,   4.9, 6,   8.0, 999.9,   82.4*,  60.8 , 0.00G,999.9, 000000,
